expected_sentiment,text,model_output,confidence_score
positive,"@stellargirl I loooooooovvvvvveee my Kindle2. Not that the DX is cool, but the 2 is fantastic in its own right.",positive,0.9839921593666077
positive,Reading my kindle2...  Love it... Lee childs is good read.,positive,0.9873184561729431
positive,"Ok, first assesment of the #kindle2 ...it fucking rocks!!!",positive,0.9485465288162231
positive,@kenburbary You'll love your Kindle2. I've had mine for a few months and never looked back. The new big one is huge! No need for remorse! :),positive,0.9834555983543396
positive,@mikefish  Fair enough. But i have the Kindle2 and I think it's perfect  :),positive,0.9709419012069702
positive,@richardebaker no. it is too big. I'm quite happy with the Kindle2.,positive,0.824151337146759
negative,Fuck this economy. I hate aig and their non loan given asses.,negative,0.9556979537010193
positive,Jquery is my new best friend.,positive,0.9489337205886841
positive,Loves twitter,positive,0.9410896897315979
positive,how can you not love Obama? he makes jokes about himself.,positive,0.533113956451416
neutral,Check this video out -- President Obama at the White House Correspondents' Dinner http://bit.ly/IMXUM,neutral,0.7937620282173157
negative,"@Karoli I firmly believe that Obama/Pelosi have ZERO desire to be civil.  It's a charade and a slogan, but they want to destroy conservatism",negative,0.9141016006469727
positive,"House Correspondents dinner was last night whoopi, barbara &amp; sherri went, Obama got a standing ovation",neutral,0.6999677419662476
positive,Watchin Espn..Jus seen this new Nike Commerical with a Puppet Lebron..sh*t was hilarious...LMAO!!!,positive,0.7188707590103149
negative,"dear nike, stop with the flywire. that shit is a waste of science. and ugly. love, @vincentx24x",negative,0.9143410325050354
positive,"#lebron best athlete of our generation, if not all time (basketball related) I don't want to get into inter-sport debates about   __1/2",neutral,0.505739152431488
negative,I was talking to this guy last night and he was telling me that he is a die hard Spurs fan.  He also told me that he hates LeBron James.,negative,0.5379148721694946
positive,i love lebron. http://bit.ly/PdHur,positive,0.9697829484939575
negative,"@ludajuice Lebron is a Beast, but I'm still cheering 4 the A..til the end.",positive,0.9351058006286621
positive,@Pmillzz lebron IS THE BOSS,positive,0.816006600856781
positive,"@sketchbug Lebron is a hometown hero to me, lol I love the Lakers but let's go Cavs, lol",positive,0.9685062170028687
positive,lebron and zydrunas are such an awesome duo,positive,0.9664830565452576
positive,@wordwhizkid Lebron is a beast... nobody in the NBA comes even close.,positive,0.9206796884536743
positive,downloading apps for my iphone! So much fun :-) There literally is an app for just about anything.,positive,0.9849114418029785
positive,"good news, just had a call from the Visa office, saying everything is fine.....what a relief! I am sick of scams out there! Stealing!",positive,0.6426227688789368
positive,http://twurl.nl/epkr4b - awesome come back from @biz (via @fredwilson),positive,0.980182409286499
positive,In montreal for a long weekend of R&amp;R. Much needed.,positive,0.9420773386955261
positive,Booz Allen Hamilton has a bad ass homegrown social collaboration platform. Way cool!  #ttiv,positive,0.9709967374801636
positive,[#MLUC09] Customer Innovation Award Winner: Booz Allen Hamilton -- http://ping.fm/c2hPP,positive,0.742392897605896
positive,"@SoChi2 I current use the Nikon D90 and love it, but not as much as the Canon 40D/50D. I chose the D90 for the  video feature. My mistake.",neutral,0.43793532252311707
neutral,need suggestions for a good IR filter for my canon 40D ... got some? pls DM,neutral,0.7366569638252258
neutral,@surfit: I just checked my google for my business- blip shows up as the second entry! Huh. Is that a good or ba... ? http://blip.fm/~6emhv,neutral,0.6165428757667542
positive,"@phyreman9 Google is always a good place to look. Should've mentioned I worked on the Mustang w/ my Dad, @KimbleT.",positive,0.6583139896392822
negative,Played with an android google phone. The slide out screen scares me I would break that fucker so fast. Still prefer my iPhone.,negative,0.8566861152648926
negative,US planning to resume the military tribunals at Guantanamo Bay... only this time those on trial will be AIG execs and Chrysler debt holders,neutral,0.7427935004234314
negative,omg so bored &amp; my tattoooos are so itchy!!  help! aha =),negative,0.8590397238731384
negative,I'm itchy and miserable!,negative,0.9076963067054749
negative,"@sekseemess no. I'm not itchy for now. Maybe later, lol.",neutral,0.5044832825660706
positive,RT @jessverr I love the nerdy Stanford human biology videos - makes me miss school. http://bit.ly/13t7NR,positive,0.950660228729248
positive,"@spinuzzi: Has been a bit crazy, with steep learning curve, but LyX is really good for long docs. For anything shorter, it would be insane.",positive,0.8642591238021851
positive,"I'm listening to ""P.Y.T"" by Danny Gokey &lt;3 &lt;3 &lt;3 Aww, he's so amazing. I &lt;3 him so much :)",positive,0.9901077747344971
positive,is going to sleep then on a bike ride:],neutral,0.8133415579795837
negative,cant sleep... my tooth is aching.,negative,0.9128068089485168
negative,"Blah, blah, blah same old same old. No plans today, going back to sleep I guess.",negative,0.8240057826042175
negative,"glad i didnt do Bay to Breakers today, it's 1000 freaking degrees in San Francisco wtf",negative,0.8569322228431702
neutral,is in San Francisco at Bay to Breakers.,neutral,0.9439024329185486
neutral,just landed at San Francisco,neutral,0.7720442414283752
neutral,San Francisco today.  Any suggestions?,neutral,0.9385477304458618
negative,?Obama Administration Must Stop Bonuses to AIG Ponzi Schemers ... http://bit.ly/2CUIg,neutral,0.517593264579773
negative,started to think that Citi is in really deep s&amp;^t. Are they gonna survive the turmoil or are they gonna be the next AIG?,negative,0.8783857822418213
negative,ShaunWoo hate'n on AiG,negative,0.740208089351654
positive,@YarnThing you will not regret going to see Star Trek. It was AWESOME!,positive,0.9886642098426819
neutral,On my way to see Star Trek @ The Esquire.,positive,0.6252117156982422
neutral,Going to see star trek soon with my dad.,positive,0.775428295135498
negative,annoying new trend on the internets:  people picking apart michael lewis and malcolm gladwell.  nobody wants to read that.,negative,0.9273456931114197
neutral,Bill Simmons in conversation with Malcolm Gladwell http://bit.ly/j9o50,neutral,0.9237477779388428
positive,Highly recommend: http://tinyurl.com/HowDavidBeatsGoliath by Malcolm Gladwell,positive,0.9155014753341675
positive,Blink by malcolm gladwell amazing book and The tipping point!,positive,0.975119411945343
positive,Malcolm Gladwell might be my new man crush,positive,0.6605349779129028
negative,omg. The commercials alone on ESPN are going to drive me nuts.,negative,0.8275806903839111
positive,@robmalon Playing with Twitter API sounds fun.  May need to take a class or find a new friend who like to generate results with API code.,positive,0.8401215672492981
neutral,playing with cURL and the Twitter API,neutral,0.9381253719329834
positive,Hello Twitter API ;),positive,0.9204007387161255
neutral,playing with Java and the Twitter API,neutral,0.90240877866745
negative,@morind45 Because the twitter api is slow and most client's aren't good.,negative,0.8983304500579834
negative,yahoo answers can be a butt sometimes,negative,0.7763030529022217
positive,is scrapbooking with Nic =D,positive,0.6798790693283081
positive,RT @mashable: Five Things Wolfram Alpha Does Better (And Vastly Different) Than Google - http://bit.ly/6nSnR,positive,0.6902390718460083
positive,just changed my default pic to a Nike basketball cause bball is awesome!!!!!,positive,0.9755977392196655
neutral,"Nike owns NBA Playoffs ads w/ LeBron, Kobe, Carmelo? http://ow.ly/7Uiy  #Adidas #Billups #Howard  #Marketing #Branding",neutral,0.9408354163169861
neutral,"'Next time, I'll call myself Nike'",neutral,0.7497150301933289
neutral,New blog post: Nike SB Dunk Low Premium 'White Gum' http://tr.im/lOtT,neutral,0.858835756778717
negative,RT @SmartChickPDX: Was just told that Nike layoffs started today :-(,negative,0.8915079832077026
positive,Back when I worked for Nike we had one fav word : JUST DO IT! :),positive,0.9343926310539246
positive,"By the way, I'm totally inspired by this freaky Nike commercial: http://snurl.com/icgj9",positive,0.9022307991981506
neutral,"giving weka an app engine interface, using the bird strike data for the tests, the logo is a given.",neutral,0.8912992477416992
neutral,"Brand New Canon EOS 50D 15MP DSLR Camera Canon 17-85mm IS Lens ...: Web Technology Thread, Brand New Canon EOS 5.. http://u.mavrev.com/5a3t",neutral,0.7339820861816406
positive,Class... The 50d is supposed to come today :),positive,0.8872784376144409
negative,needs someone to explain lambda calculus to him! :(,negative,0.8284907341003418
negative,Took the Graduate Field Exam for Computer Science today.  Nothing makes you feel like more of an idiot than lambda calculus.,negative,0.8328716158866882
positive,SHOUT OUTS TO ALL EAST PALO ALTO FOR BEING IN THE BUILDIN KARIZMAKAZE 50CAL GTA! ALSO THANKS TO PROFITS OF DOOM UNIVERSAL HEMPZ CRACKA......,positive,0.9281622767448425
